epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,144.242,1.21302,2.0404,0.9877,0.68414,0.69581,0.70321,0.50228,1.14348,1.42071,0.94884,0.000406504,0.000406504,0.000406504
2,325.01,0.98843,0.79763,0.92398,0.9429,0.62813,0.77535,0.5182,1.12135,0.98217,0.9735,0.000790573,0.000790573,0.000790573
3,507.411,0.98504,0.69297,0.92637,0.87329,0.86492,0.89638,0.6287,0.97174,0.78756,0.93365,0.00114164,0.00114164,0.00114164
4,682.279,0.95683,0.62653,0.91642,0.85822,0.81561,0.87686,0.58563,1.07967,0.83279,0.95543,0.0011015,0.0011015,0.0011015
5,905.171,0.91082,0.5964,0.91346,0.76997,0.80572,0.87081,0.60603,0.97332,0.74372,0.92297,0.001052,0.001052,0.001052
6,1090.56,0.8934,0.56134,0.90156,0.87167,0.79802,0.83365,0.58313,0.94292,0.84339,0.90978,0.0010025,0.0010025,0.0010025
7,1279.01,0.8749,0.53553,0.90046,0.90368,0.8482,0.88558,0.64248,0.87493,0.67487,0.89332,0.000953,0.000953,0.000953
8,1456.16,0.89466,0.5235,0.90251,0.92592,0.90697,0.92343,0.66731,0.91642,0.59313,0.90475,0.0009035,0.0009035,0.0009035
9,1634.29,0.8984,0.52597,0.90772,0.8993,0.85877,0.93002,0.66824,0.88572,0.63685,0.89282,0.000854,0.000854,0.000854
10,1807.3,0.84337,0.48484,0.90071,0.89081,0.88142,0.90982,0.68822,0.85688,0.54673,0.88223,0.0008045,0.0008045,0.0008045
11,1983.13,0.82517,0.46668,0.8819,0.98507,0.89163,0.93919,0.70057,0.91205,0.53073,0.88931,0.000755,0.000755,0.000755
12,2161.42,0.82409,0.45913,0.88152,0.95041,0.88505,0.92715,0.69874,0.85489,0.52873,0.87598,0.0007055,0.0007055,0.0007055
13,2461.01,0.8042,0.45312,0.88203,0.96181,0.91765,0.9399,0.69646,0.83619,0.50135,0.87244,0.000656,0.000656,0.000656
14,2718.17,0.77029,0.42594,0.87013,0.95593,0.90789,0.94686,0.7217,0.85676,0.50034,0.87364,0.0006065,0.0006065,0.0006065
15,2929.95,0.77109,0.42875,0.86097,0.98032,0.88142,0.95035,0.74148,0.77962,0.4722,0.85939,0.000557,0.000557,0.000557
16,3254.65,0.77033,0.42505,0.87422,0.94626,0.9023,0.94391,0.72873,0.80919,0.49164,0.86954,0.0005075,0.0005075,0.0005075
17,3491.57,0.75399,0.41385,0.87276,0.96975,0.91667,0.95173,0.72344,0.80534,0.48327,0.86599,0.000458,0.000458,0.000458
18,3778.31,0.74305,0.39936,0.86439,0.95278,0.91599,0.94383,0.72861,0.81134,0.48191,0.86641,0.0004085,0.0004085,0.0004085
19,4030.25,0.7385,0.38427,0.86746,0.96502,0.91435,0.95024,0.73451,0.79625,0.46245,0.86177,0.000359,0.000359,0.000359
20,4254.92,0.72156,0.37556,0.85616,0.9678,0.91167,0.95424,0.74085,0.78268,0.4695,0.86143,0.0003095,0.0003095,0.0003095
21,4431.36,0.72319,0.37301,0.86267,0.95581,0.91667,0.95811,0.7441,0.76774,0.4483,0.85609,0.00026,0.00026,0.00026
22,4626.92,0.69609,0.3587,0.84979,0.97924,0.91887,0.95797,0.74625,0.77903,0.42947,0.85662,0.0002105,0.0002105,0.0002105
23,4836.07,0.679,0.34295,0.85071,0.98835,0.91731,0.96472,0.76117,0.77786,0.41724,0.85805,0.000161,0.000161,0.000161
24,5058.85,0.66573,0.33238,0.84599,0.96977,0.91732,0.96341,0.77228,0.74997,0.41611,0.85124,0.0001115,0.0001115,0.0001115
25,5231.6,0.65368,0.32246,0.84798,0.9702,0.91784,0.96709,0.77891,0.74268,0.39676,0.85001,6.2e-05,6.2e-05,6.2e-05
