epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.181,1.21901,2.312,1.03188,0.83609,0.68892,0.74664,0.51353,1.14886,2.28666,0.94796,0.00025,0.00025,0.00025
2,138.673,1.062,1.18448,0.97194,0.72429,0.71307,0.71893,0.49528,1.23796,1.91486,1.03653,0.000492205,0.000492205,0.000492205
3,223.083,1.07153,0.93583,0.99228,0.71897,0.67864,0.68756,0.4588,1.20428,1.25905,1.038,0.00071362,0.00071362,0.00071362
4,317.285,1.05019,0.80227,0.98941,0.81496,0.71335,0.73773,0.50087,1.12853,1.17643,1.03776,0.000914245,0.000914245,0.000914245
5,415.954,1.01567,0.73823,0.9842,0.81642,0.66346,0.70168,0.46912,1.09174,1.03691,0.98363,0.001052,0.001052,0.001052
6,518.412,1.02765,0.72538,0.98834,0.85921,0.78533,0.81849,0.53703,1.08901,0.94227,1.01026,0.0010025,0.0010025,0.0010025
7,622.962,0.94468,0.80403,0.93264,0.85957,0.83188,0.84072,0.60193,1.06521,0.87496,0.9797,0.000953,0.000953,0.000953
8,741.49,0.97821,0.69479,0.96193,0.73817,0.76958,0.77598,0.54735,1.03549,1.14927,0.96429,0.0009035,0.0009035,0.0009035
9,859.216,0.97367,0.64014,0.96169,0.87522,0.83901,0.89269,0.62445,1.05393,0.86017,0.96186,0.000854,0.000854,0.000854
10,988.245,0.92316,0.59835,0.96036,0.86631,0.71532,0.75291,0.52016,1.01578,0.7332,0.95957,0.0008045,0.0008045,0.0008045
11,1105.49,0.90404,0.59156,0.93717,0.89173,0.90807,0.9018,0.61724,1.05581,0.71249,0.95743,0.000755,0.000755,0.000755
12,1202.99,0.86297,0.57489,0.90832,0.86745,0.87163,0.91566,0.68768,0.95384,0.71482,0.92761,0.0007055,0.0007055,0.0007055
13,1326.27,0.9107,0.6014,0.93624,0.93055,0.90849,0.93391,0.68426,1.03604,0.63385,0.94726,0.000656,0.000656,0.000656
14,1436.32,0.89844,0.54788,0.93695,0.92525,0.954,0.94931,0.70393,0.95734,0.58117,0.92089,0.0006065,0.0006065,0.0006065
15,1521.4,0.85359,0.50988,0.91857,0.93433,0.92892,0.94537,0.70713,0.98831,0.58211,0.93089,0.000557,0.000557,0.000557
16,1618.39,0.83554,0.49007,0.91444,0.88498,0.94002,0.93261,0.68531,0.98987,0.60436,0.94125,0.0005075,0.0005075,0.0005075
17,1708.08,0.83372,0.50005,0.92908,0.92592,0.93085,0.94154,0.70786,0.95632,0.5516,0.9401,0.000458,0.000458,0.000458
18,1800.55,0.79115,0.47169,0.90301,0.91345,0.90307,0.935,0.70063,0.93363,0.58946,0.92087,0.0004085,0.0004085,0.0004085
19,1890.86,0.78982,0.45378,0.90119,0.94016,0.9556,0.94978,0.71227,0.93911,0.53683,0.91621,0.000359,0.000359,0.000359
20,1987.75,0.76511,0.45555,0.89605,0.93125,0.94727,0.94756,0.70715,0.95435,0.54342,0.91901,0.0003095,0.0003095,0.0003095
21,2070.35,0.76885,0.43462,0.88312,0.94866,0.96037,0.94638,0.71179,0.93313,0.51973,0.91523,0.00026,0.00026,0.00026
22,2160.94,0.76141,0.43643,0.89031,0.93357,0.96338,0.94678,0.72459,0.91137,0.49605,0.90472,0.0002105,0.0002105,0.0002105
23,2260.51,0.73278,0.42089,0.88957,0.92816,0.96408,0.94614,0.73579,0.90049,0.49793,0.90367,0.000161,0.000161,0.000161
24,2361.9,0.72363,0.39803,0.87683,0.93697,0.96153,0.94829,0.73562,0.88873,0.47984,0.89785,0.0001115,0.0001115,0.0001115
25,2448.54,0.74161,0.39801,0.87879,0.9341,0.96307,0.9471,0.7373,0.88397,0.4698,0.89718,6.2e-05,6.2e-05,6.2e-05
