epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.251,1.30343,2.58672,1.02844,0.96386,0.79268,0.86375,0.61419,0.95635,1.48952,0.88645,0.000545744,0.000545744,0.000545744
2,131.948,0.97711,0.73716,0.90725,0.81213,0.82953,0.85181,0.60542,1.03754,1.81011,0.92333,0.00105779,0.00105779,0.00105779
3,184.466,0.95935,0.6262,0.90358,0.95939,0.91335,0.95733,0.67609,1.06296,0.60686,0.93114,0.00152584,0.00152584,0.00152584
4,238.819,0.92901,0.56353,0.89307,0.96656,0.92016,0.94578,0.71181,0.89916,0.54442,0.8803,0.00146896,0.00146896,0.00146896
5,293.02,0.93718,0.56252,0.90159,0.97357,0.89701,0.94141,0.69261,0.93757,0.55719,0.89284,0.00140295,0.00140295,0.00140295
6,344.303,0.92315,0.52645,0.89421,0.96509,0.92506,0.95843,0.70629,0.91872,0.53222,0.87326,0.00133693,0.00133693,0.00133693
7,397.66,0.89165,0.50182,0.88292,0.97645,0.91335,0.95516,0.72697,0.90075,0.49404,0.86933,0.00127092,0.00127092,0.00127092
8,451.635,0.85653,0.49255,0.86952,0.95201,0.93223,0.96317,0.72936,0.87556,0.59151,0.86796,0.00120491,0.00120491,0.00120491
9,503.546,0.83602,0.4633,0.86896,0.97783,0.93124,0.96808,0.75559,0.85139,0.45248,0.85765,0.00113889,0.00113889,0.00113889
10,556.777,0.80709,0.44732,0.86458,0.97116,0.95601,0.97347,0.7465,0.8409,0.48266,0.85444,0.00107288,0.00107288,0.00107288
11,610.685,0.81935,0.44288,0.86664,0.97066,0.93415,0.96672,0.7595,0.84101,0.45476,0.85515,0.00100687,0.00100687,0.00100687
12,663.291,0.80605,0.43538,0.86651,0.96841,0.94186,0.96866,0.74374,0.85788,0.44588,0.85606,0.000940855,0.000940855,0.000940855
13,716.164,0.80795,0.43304,0.85635,0.98531,0.94232,0.97416,0.75108,0.8235,0.43147,0.85089,0.000874842,0.000874842,0.000874842
14,769.785,0.80433,0.42484,0.86145,0.98342,0.95455,0.98043,0.78204,0.7854,0.39963,0.83869,0.000808828,0.000808828,0.000808828
15,823.63,0.77879,0.40763,0.85298,0.9786,0.95145,0.97651,0.78038,0.77574,0.39395,0.83724,0.000742815,0.000742815,0.000742815
16,883.194,0.75993,0.39043,0.86368,0.98161,0.95809,0.98035,0.7524,0.85653,0.41898,0.85087,0.000676802,0.000676802,0.000676802
17,935.232,0.7617,0.38888,0.86662,0.97115,0.95317,0.97714,0.76163,0.7982,0.41161,0.84246,0.000610789,0.000610789,0.000610789
18,987.96,0.75457,0.3882,0.85709,0.97923,0.95609,0.98042,0.7806,0.78395,0.4117,0.83466,0.000544776,0.000544776,0.000544776
19,1040.78,0.74578,0.37062,0.85718,0.9897,0.93901,0.97908,0.77991,0.78782,0.39472,0.8378,0.000478762,0.000478762,0.000478762
20,1092.78,0.73482,0.36418,0.85193,0.97289,0.97001,0.98357,0.78745,0.79068,0.38508,0.83606,0.000412749,0.000412749,0.000412749
21,1145.33,0.7238,0.35136,0.8448,0.98789,0.95994,0.98478,0.79731,0.76419,0.36893,0.8326,0.000346736,0.000346736,0.000346736
22,1197.94,0.71717,0.34475,0.85168,0.98012,0.96069,0.98133,0.79656,0.7493,0.36303,0.82848,0.000280723,0.000280723,0.000280723
23,1248.78,0.71017,0.33157,0.85095,0.98254,0.96032,0.98336,0.8009,0.7422,0.35753,0.82779,0.00021471,0.00021471,0.00021471
24,1301.4,0.6912,0.32972,0.83823,0.98701,0.95929,0.98414,0.80579,0.73112,0.34809,0.82365,0.000148696,0.000148696,0.000148696
25,1354.25,0.67607,0.31624,0.83891,0.98634,0.96312,0.98523,0.80472,0.7282,0.34338,0.8234,8.26832e-05,8.26832e-05,8.26832e-05
