epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.1605,1.67729,4.42431,1.2233,0.2894,0.46295,0.40957,0.22379,1.62355,3.14139,1.06799,4.287e-05,4.287e-05,4.287e-05
2,60.4707,1.41609,2.3252,1.07175,0.77709,0.79421,0.81357,0.50654,1.23348,2.11985,0.96425,9.83795e-05,9.83795e-05,9.83795e-05
3,90.3441,1.23992,1.49245,1.00128,0.95647,0.88889,0.9336,0.5724,1.25681,1.52478,0.97111,0.000152003,0.000152003,0.000152003
4,120.54,1.16096,1.19088,0.97769,0.98589,0.90871,0.97908,0.66621,1.11057,1.37394,0.94077,0.00020374,0.00020374,0.00020374
5,150.143,1.10057,1.01653,0.9521,0.96145,0.96151,0.98109,0.68286,1.07629,1.18929,0.92378,0.00025359,0.00025359,0.00025359
6,179.668,1.06868,0.98307,0.95638,0.96986,0.97289,0.98169,0.66695,1.13404,1.17205,0.94413,0.000301555,0.000301555,0.000301555
7,208.661,1.04968,0.91572,0.94704,0.96255,0.98413,0.9809,0.67893,1.06821,0.99951,0.92537,0.000347633,0.000347633,0.000347633
8,237.241,0.97524,0.85516,0.92352,0.98173,0.96656,0.9809,0.65161,1.11458,1.03971,0.95486,0.000391825,0.000391825,0.000391825
9,267.537,1.04076,0.78878,0.93618,0.96872,0.97176,0.98433,0.63414,1.25411,0.96831,1.0041,0.00043413,0.00043413,0.00043413
10,297.223,1.03102,0.74145,0.94462,0.91214,0.93917,0.96952,0.60529,1.24142,1.03277,0.99363,0.000474549,0.000474549,0.000474549
11,328.117,0.98035,0.71367,0.94333,0.95276,0.89883,0.96047,0.64176,1.118,0.92799,0.95951,0.000513082,0.000513082,0.000513082
12,359.777,0.99289,0.69543,0.921,0.86891,0.84658,0.94812,0.59193,1.23946,1.08317,1.01719,0.000549729,0.000549729,0.000549729
13,390.239,0.99287,0.6498,0.93733,0.85036,0.96825,0.97526,0.64522,1.1381,0.86977,1.02196,0.00058449,0.00058449,0.00058449
14,419.816,0.98754,0.61286,0.92189,0.82551,0.95129,0.97519,0.65259,1.09026,0.81787,1.00075,0.000617364,0.000617364,0.000617364
15,448.395,0.99979,0.61074,0.94061,0.82518,0.9345,0.93841,0.62598,1.11459,0.85129,0.96334,0.000648352,0.000648352,0.000648352
16,477.487,1.03481,0.6305,0.93826,0.95545,0.98413,0.96845,0.66159,1.06731,0.74581,0.922,0.000677453,0.000677453,0.000677453
17,506.201,1.01428,0.61545,0.93244,0.9604,0.98413,0.98702,0.68058,1.05892,0.71914,0.92596,0.000704668,0.000704668,0.000704668
18,534.406,0.98329,0.61068,0.94398,0.89973,1,0.995,0.682,1.08424,0.7676,0.9588,0.000729998,0.000729998,0.000729998
19,563.109,0.96633,0.61861,0.95251,0.97738,0.99372,0.995,0.68354,1.07121,0.66268,0.9503,0.00075344,0.00075344,0.00075344
20,591.376,0.95094,0.57767,0.90013,0.98403,0.99759,0.995,0.66048,1.08582,0.61636,0.9635,0.000774997,0.000774997,0.000774997
21,619.969,0.97124,0.58918,0.92727,0.96195,0.99505,0.99364,0.66475,1.09433,0.63843,1.00178,0.000794667,0.000794667,0.000794667
22,648.538,0.98245,0.55674,0.92392,0.9774,0.96882,0.99439,0.67238,1.06165,0.63307,0.98778,0.000812451,0.000812451,0.000812451
23,677.005,0.9286,0.57294,0.92983,0.98083,0.98413,0.99439,0.66501,1.07281,0.58466,0.96975,0.000828348,0.000828348,0.000828348
24,706.09,0.95336,0.54631,0.91025,0.98905,0.96825,0.99364,0.65934,1.10928,0.57951,0.97325,0.00084236,0.00084236,0.00084236
25,736.111,0.95476,0.55695,0.9179,0.98203,0.96825,0.99239,0.68085,1.0835,0.58568,0.96884,0.000854485,0.000854485,0.000854485
26,764.384,0.92206,0.53774,0.89887,0.96155,0.95453,0.99156,0.66867,1.07401,0.59304,0.97583,0.000839537,0.000839537,0.000839537
27,794.844,0.9112,0.51955,0.92684,0.9622,1,0.99364,0.67724,1.05831,0.56377,0.97366,0.000815959,0.000815959,0.000815959
28,824.368,0.90643,0.54169,0.93431,0.98471,0.99967,0.995,0.66197,1.04699,0.53071,0.96532,0.00079238,0.00079238,0.00079238
29,853.742,0.893,0.52431,0.90327,0.98087,1,0.995,0.67679,1.01047,0.50396,0.95007,0.000768802,0.000768802,0.000768802
30,883.681,0.93725,0.52784,0.91214,0.97344,1,0.995,0.69435,0.99945,0.49885,0.94212,0.000745223,0.000745223,0.000745223
31,912.997,0.92137,0.49471,0.91906,0.9701,1,0.995,0.70852,0.97957,0.4982,0.92797,0.000721645,0.000721645,0.000721645
32,942.705,0.8726,0.48695,0.90406,0.99313,1,0.995,0.70934,0.9717,0.47703,0.91951,0.000698066,0.000698066,0.000698066
33,972.638,0.86736,0.48968,0.90889,0.9933,1,0.995,0.70814,0.9988,0.47241,0.92258,0.000674488,0.000674488,0.000674488
34,1002.73,0.88359,0.48796,0.89175,0.98905,1,0.995,0.69874,1.00541,0.47279,0.92554,0.000650909,0.000650909,0.000650909
35,1032.74,0.88897,0.49101,0.91054,0.98708,1,0.995,0.71683,0.9922,0.46934,0.91462,0.000627331,0.000627331,0.000627331
36,1062.78,0.91895,0.51814,0.91785,0.98964,1,0.995,0.72894,0.9584,0.47296,0.9044,0.000603752,0.000603752,0.000603752
37,1093.36,0.90642,0.4841,0.92092,0.98811,1,0.995,0.74578,0.92734,0.46567,0.89343,0.000580174,0.000580174,0.000580174
38,1122.89,0.92084,0.48305,0.91482,0.98104,0.98698,0.995,0.72107,0.97233,0.45757,0.91572,0.000556595,0.000556595,0.000556595
39,1152.57,0.87755,0.47128,0.90287,0.98358,0.98551,0.995,0.7093,0.99453,0.4502,0.92477,0.000533017,0.000533017,0.000533017
40,1183.13,0.91806,0.49516,0.89377,0.98502,0.9903,0.995,0.7212,0.96961,0.45012,0.91868,0.000509438,0.000509438,0.000509438
41,1213.24,0.87466,0.49763,0.91175,0.99246,0.98585,0.995,0.72834,0.97458,0.45262,0.91774,0.00048586,0.00048586,0.00048586
42,1243.43,0.87948,0.49121,0.89726,0.99379,0.98571,0.995,0.72933,0.97533,0.45878,0.90905,0.000462281,0.000462281,0.000462281
43,1273.88,0.83211,0.46167,0.88611,0.9957,0.98574,0.995,0.72173,0.99211,0.46686,0.90991,0.000438703,0.000438703,0.000438703
44,1304.54,0.84592,0.44578,0.91493,0.99501,0.98585,0.995,0.71391,1.00622,0.47357,0.9143,0.000415124,0.000415124,0.000415124
45,1334.79,0.79084,0.45165,0.89126,0.9811,0.998,0.995,0.70859,1.01445,0.47426,0.91835,0.000391546,0.000391546,0.000391546
46,1364.74,0.7814,0.44762,0.88375,0.98082,0.99808,0.995,0.71263,1.02992,0.46307,0.92218,0.000367967,0.000367967,0.000367967
47,1394.39,0.80035,0.44154,0.86961,0.98193,0.99811,0.995,0.72109,1.02718,0.45298,0.91935,0.000344389,0.000344389,0.000344389
48,1425.18,0.78541,0.42693,0.86369,0.98461,0.9982,0.995,0.72619,1.00761,0.44676,0.9132,0.00032081,0.00032081,0.00032081
49,1455.75,0.78649,0.42537,0.86571,0.98671,0.99822,0.995,0.72613,0.98575,0.44203,0.90686,0.000297232,0.000297232,0.000297232
50,1487.64,0.76075,0.41353,0.86439,0.98874,0.9983,0.995,0.73474,0.97388,0.43464,0.90647,0.000273654,0.000273654,0.000273654
51,1518.68,0.77345,0.42489,0.88243,0.98833,0.99836,0.995,0.73855,0.96325,0.43492,0.90463,0.000250075,0.000250075,0.000250075
52,1549.91,0.8347,0.46719,0.87209,0.98699,0.99857,0.995,0.74555,0.9641,0.42693,0.90614,0.000226497,0.000226497,0.000226497
53,1581.27,0.74965,0.40806,0.86524,0.98641,0.99907,0.995,0.74268,0.96457,0.41551,0.90737,0.000202918,0.000202918,0.000202918
54,1612.85,0.75789,0.40317,0.88896,0.986,0.99907,0.995,0.73858,0.97183,0.40607,0.90897,0.00017934,0.00017934,0.00017934
55,1644.06,0.75525,0.40001,0.8659,0.98564,0.9988,0.995,0.73622,0.98301,0.40285,0.91125,0.000155761,0.000155761,0.000155761
56,1675.42,0.76105,0.39659,0.88086,0.98576,0.99867,0.995,0.73568,0.98282,0.40297,0.90971,0.000132183,0.000132183,0.000132183
57,1706.41,0.811,0.41018,0.87306,0.98607,0.99874,0.995,0.74074,0.97167,0.39879,0.90648,0.000108604,0.000108604,0.000108604
58,1738.52,0.74197,0.39867,0.84851,0.98624,0.99878,0.995,0.74315,0.96088,0.39708,0.90379,8.50255e-05,8.50255e-05,8.50255e-05
59,1769.91,0.72383,0.3729,0.86366,0.98585,0.9986,0.995,0.74603,0.95346,0.39595,0.90136,6.1447e-05,6.1447e-05,6.1447e-05
